<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.10.02	00:00:00	1.08546	1.08804	1.08523	1.08591	1284	0	53
2017.10.02	01:00:00	1.08601	1.08661	1.08571	1.08587	1453	0	7
2017.10.02	02:00:00	1.08590	1.08633	1.08542	1.08631	1522	0	2
2017.10.02	03:00:00	1.08633	1.08786	1.08630	1.08779	3007	0	3
2017.10.02	04:00:00	1.08779	1.08800	1.08705	1.08775	2616	0	1
2017.10.02	05:00:00	1.08780	1.08792	1.08650	1.08678	2655	0	0
2017.10.02	06:00:00	1.08683	1.08722	1.08652	1.08682	1513	0	4
2017.10.02	07:00:00	1.08682	1.08751	1.08660	1.08719	2380	0	3
2017.10.02	08:00:00	1.08723	1.08756	1.08670	1.08687	2179	0	7
2017.10.02	09:00:00	1.08686	1.08739	1.08659	1.08671	4153	0	2
2017.10.02	10:00:00	1.08674	1.08774	1.08653	1.08745	5984	0	1
2017.10.02	11:00:00	1.08745	1.08797	1.08671	1.08693	3940	0	0
2017.10.02	12:00:00	1.08693	1.08739	1.08639	1.08650	3985	0	2
2017.10.02	13:00:00	1.08650	1.08665	1.08611	1.08647	3404	0	1
2017.10.02	14:00:00	1.08647	1.08679	1.08616	1.08649	3125	0	4
2017.10.02	15:00:00	1.08649	1.08682	1.08599	1.08654	5708	0	1
2017.10.02	16:00:00	1.08657	1.08687	1.08598	1.08615	5239	0	0
2017.10.02	17:00:00	1.08623	1.08668	1.08527	1.08572	7803	0	4
2017.10.02	18:00:00	1.08572	1.08675	1.08532	1.08659	4342	0	1
2017.10.02	19:00:00	1.08659	1.08755	1.08651	1.08748	2195	0	1
2017.10.02	20:00:00	1.08743	1.08766	1.08695	1.08725	1826	0	6
2017.10.02	21:00:00	1.08722	1.08771	1.08713	1.08721	2880	0	7
2017.10.02	22:00:00	1.08727	1.08796	1.08713	1.08750	2202	0	8
2017.10.02	23:00:00	1.08753	1.08772	1.08704	1.08728	744	0	6
2017.10.03	00:00:00	1.08728	1.08906	1.08728	1.08837	2547	0	13
2017.10.03	01:00:00	1.08839	1.08847	1.08791	1.08826	1471	0	13
2017.10.03	02:00:00	1.08826	1.08853	1.08802	1.08832	1683	0	3
2017.10.03	03:00:00	1.08833	1.08919	1.08826	1.08840	3299	0	4
2017.10.03	04:00:00	1.08839	1.08908	1.08806	1.08823	4137	0	3
2017.10.03	05:00:00	1.08820	1.08855	1.08788	1.08811	2472	0	2
2017.10.03	06:00:00	1.08810	1.08921	1.08754	1.08834	4946	0	3
2017.10.03	07:00:00	1.08834	1.08928	1.08827	1.08873	2652	0	3
2017.10.03	08:00:00	1.08877	1.08993	1.08834	1.08886	4052	0	2
2017.10.03	09:00:00	1.08886	1.08932	1.08862	1.08921	5314	0	0
2017.10.03	10:00:00	1.08923	1.08938	1.08844	1.08855	5060	0	0
