<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	00:00:00	0.69162	0.69230	0.69162	0.69230	194	122250000	81
2017.01.02	01:00:00	0.69210	0.69230	0.68989	0.69220	321	912500000	351
2017.01.02	02:00:00	0.69217	0.69230	0.69101	0.69217	395	694500000	256
2017.01.02	03:00:00	0.69217	0.69227	0.69101	0.69227	431	762850000	257
2017.01.02	04:00:00	0.69205	0.69237	0.69106	0.69227	305	705600000	246
2017.01.02	05:00:00	0.69198	0.69237	0.69186	0.69237	287	715950000	246
2017.01.02	06:00:00	0.69190	0.69237	0.69106	0.69198	349	912150000	246
2017.01.02	07:00:00	0.69107	0.69319	0.69106	0.69285	458	958550000	105
2017.01.02	08:00:00	0.69235	0.69292	0.69192	0.69266	480	786750000	95
2017.01.02	09:00:00	0.69266	0.69330	0.68915	0.69295	835	811180000	98
2017.01.02	10:00:00	0.69286	0.69300	0.69176	0.69225	5912	8639907000	28
2017.01.02	11:00:00	0.69221	0.69266	0.69090	0.69121	13571	5980748000	27
2017.01.02	12:00:00	0.69131	0.69276	0.69039	0.69232	3496	2862149000	21
2017.01.02	13:00:00	0.69232	0.69256	0.69059	0.69190	3943	4038572000	32
2017.01.02	14:00:00	0.69214	0.69268	0.69139	0.69230	3364	3779241000	37
2017.01.02	15:00:00	0.69230	0.69305	0.69194	0.69272	4367	3250331000	26
2017.01.02	16:00:00	0.69269	0.69493	0.69185	0.69492	4519	4639447000	24
2017.01.02	17:00:00	0.69470	0.69501	0.69276	0.69480	3297	2774327000	39
2017.01.02	18:00:00	0.69476	0.69481	0.69255	0.69407	905	1077328000	60
2017.01.02	19:00:00	0.69406	0.69414	0.69337	0.69342	788	754731000	82
2017.01.02	20:00:00	0.69350	0.69450	0.69268	0.69348	506	419470000	45
2017.01.02	21:00:00	0.69349	0.69368	0.69166	0.69295	473	406969000	52
2017.01.02	22:00:00	0.69257	0.69321	0.69163	0.69261	346	268371000	44
2017.01.02	23:00:00	0.69253	0.69320	0.68996	0.69076	879	942979000	45
2017.01.03	00:00:00	0.69171	0.69280	0.68924	0.69269	737	543450000	24
2017.01.03	01:00:00	0.69269	0.69303	0.69205	0.69287	2982	2241100000	21
2017.01.03	02:00:00	0.69285	0.69388	0.69270	0.69367	3850	3799649000	23
2017.01.03	03:00:00	0.69372	0.69554	0.69343	0.69471	3623	2248611000	21
2017.01.03	04:00:00	0.69471	0.69567	0.69467	0.69559	3507	2767304000	21
2017.01.03	05:00:00	0.69559	0.69607	0.69510	0.69606	3475	1951053000	21
2017.01.03	06:00:00	0.69600	0.69727	0.69571	0.69724	3000	1974477000	21
2017.01.03	07:00:00	0.69724	0.69735	0.69625	0.69636	4903	2298557000	22
2017.01.03	08:00:00	0.69637	0.69713	0.69622	0.69682	2920	1718704000	21
2017.01.03	09:00:00	0.69685	0.69686	0.69358	0.69440	3432	2129799000	22
2017.01.03	10:00:00	0.69440	0.69526	0.69409	0.69459	5517	6339279000	21
2017.01.03	11:00:00	0.69459	0.69470	0.69271	0.69271	3900	3772129000	21
2017.01.03	12:00:00	0.69272	0.69311	0.69187	0.69189	3291	3148948000	21
2017.01.03	13:00:00	0.69188	0.69211	0.69037	0.69208	3879	2983328000	21
2017.01.03	14:00:00	0.69208	0.69212	0.69066	0.69146	3978	3146637000	21
2017.01.03	15:00:00	0.69145	0.69188	0.69049	0.69097	3332	2897213000	21
2017.01.03	16:00:00	0.69097	0.69195	0.68988	0.69132	4390	3547613000	21
2017.01.03	17:00:00	0.69130	0.69135	0.68838	0.69009	8903	6953137000	21
