<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.10.10	12:00:00	1.10046	1.10160	1.09990	1.10130	16824	0	0
2017.10.10	16:00:00	1.10130	1.10210	1.09977	1.10063	21454	0	0
2017.10.10	20:00:00	1.10063	1.10147	1.09954	1.09992	14161	0	3
2017.10.11	00:00:00	1.09992	1.10113	1.09911	1.09939	10666	0	2
2017.10.11	04:00:00	1.09934	1.10034	1.09832	1.09941	13967	0	1
2017.10.11	08:00:00	1.09941	1.10224	1.09913	1.10117	14969	0	0
2017.10.11	12:00:00	1.10117	1.10238	1.10018	1.10039	13344	0	1
2017.10.11	16:00:00	1.10038	1.10071	1.09871	1.09888	14418	0	0
2017.10.11	20:00:00	1.09890	1.09996	1.09820	1.09921	12870	0	2
2017.10.12	00:00:00	1.09921	1.10021	1.09821	1.10004	11329	0	0
2017.10.12	04:00:00	1.10004	1.10123	1.09864	1.09964	13816	0	0
2017.10.12	08:00:00	1.09964	1.10049	1.09844	1.09899	15616	0	0
2017.10.12	12:00:00	1.09902	1.09986	1.09813	1.09885	17595	0	1
2017.10.12	16:00:00	1.09887	1.09965	1.09695	1.09736	20046	0	0
2017.10.12	20:00:00	1.09735	1.09743	1.09579	1.09663	12620	0	0
2017.10.13	00:00:00	1.09663	1.09844	1.09572	1.09833	7572	0	0
2017.10.13	04:00:00	1.09832	1.09932	1.09713	1.09775	13892	0	2
2017.10.13	08:00:00	1.09774	1.09843	1.09656	1.09707	18477	0	1
2017.10.13	12:00:00	1.09706	1.09849	1.09540	1.09829	19963	0	0
2017.10.13	16:00:00	1.09829	1.09899	1.09570	1.09631	24392	0	0
2017.10.13	20:00:00	1.09634	1.10043	1.09541	1.09541	8658	0	2
2017.10.16	00:00:00	1.09880	1.10008	1.09701	1.09727	5821	0	1
2017.10.16	04:00:00	1.09727	1.09855	1.09634	1.09740	11108	0	0
2017.10.16	08:00:00	1.09740	1.09824	1.09640	1.09644	16962	0	0
2017.10.16	12:00:00	1.09644	1.09653	1.09346	1.09420	15834	0	0
2017.10.16	16:00:00	1.09421	1.09559	1.09390	1.09447	19066	0	0
2017.10.16	20:00:00	1.09447	1.09536	1.09418	1.09440	11881	0	2
2017.10.17	00:00:00	1.09440	1.09485	1.08732	1.09068	14752	0	1
2017.10.17	04:00:00	1.09074	1.09574	1.09064	1.09532	14331	0	0
2017.10.17	08:00:00	1.09532	1.09583	1.09366	1.09396	19251	0	1
2017.10.17	12:00:00	1.09400	1.09436	1.09163	1.09339	22324	0	0
2017.10.17	16:00:00	1.09339	1.09430	1.09265	1.09373	20243	0	0
2017.10.17	20:00:00	1.09373	1.09470	1.09365	1.09374	8390	0	0
2017.10.18	00:00:00	1.09374	1.09470	1.09301	1.09463	6169	0	4
2017.10.18	04:00:00	1.09462	1.09710	1.09443	1.09709	9536	0	0
2017.10.18	08:00:00	1.09709	1.09921	1.09599	1.09800	18213	0	0
2017.10.18	12:00:00	1.09801	1.09872	1.09721	1.09783	21815	0	2
2017.10.18	16:00:00	1.09783	1.09858	1.09679	1.09747	22037	0	0
2017.10.18	20:00:00	1.09745	1.09841	1.09622	1.09635	8544	0	1
2017.10.19	00:00:00	1.09635	1.09853	1.09500	1.09831	11753	0	0
2017.10.19	04:00:00	1.09829	1.10811	1.09797	1.10662	22187	0	0
2017.10.19	08:00:00	1.10658	1.11801	1.10429	1.11789	32745	0	0
2017.10.19	12:00:00	1.11788	1.12168	1.11669	1.12025	21742	0	0
2017.10.19	16:00:00	1.12024	1.12247	1.11938	1.12137	21133	0	0
2017.10.19	20:00:00	1.12137	1.12202	1.11956	1.11982	10840	0	1
2017.10.20	00:00:00	1.11982	1.12497	1.11917	1.12397	11135	0	0
2017.10.20	04:00:00	1.12398	1.12533	1.12031	1.12257	20767	0	0
2017.10.20	08:00:00	1.12258	1.12403	1.12160	1.12301	19920	0	0
2017.10.20	12:00:00	1.12300	1.12486	1.12139	1.12145	19290	0	0
2017.10.20	16:00:00	1.12147	1.12369	1.12133	1.12238	22418	0	0
2017.10.20	20:00:00	1.12240	1.12305	1.12132	1.12215	10586	0	0
2017.10.23	00:00:00	1.12475	1.12575	1.12386	1.12441	9156	0	0
2017.10.23	04:00:00	1.12439	1.12468	1.12233	1.12261	8812	0	0
2017.10.23	08:00:00	1.12261	1.12316	1.11997	1.12189	13147	0	0
2017.10.23	12:00:00	1.12192	1.12251	1.11996	1.11998	13326	0	0
2017.10.23	16:00:00	1.11996	1.12135	1.11881	1.12034	15234	0	0
2017.10.23	20:00:00	1.12034	1.12106	1.11955	1.11955	6442	0	0
2017.10.24	00:00:00	1.11955	1.12068	1.11811	1.11861	8748	0	0
2017.10.24	04:00:00	1.11860	1.12736	1.11659	1.12682	14807	0	0
2017.10.24	08:00:00	1.12682	1.12747	1.12186	1.12198	18496	0	0
2017.10.24	12:00:00	1.12198	1.12580	1.12072	1.12526	15546	0	0
2017.10.24	16:00:00	1.12524	1.12829	1.12490	1.12788	17567	0	0
2017.10.24	20:00:00	1.12789	1.12898	1.12430	1.12444	13561	0	0
2017.10.25	00:00:00	1.12400	1.12691	1.12144	1.12154	12871	0	0
2017.10.25	04:00:00	1.12155	1.12175	1.11882	1.11907	15199	0	0
2017.10.25	08:00:00	1.11907	1.11984	1.11803	1.11937	18570	0	0
2017.10.25	12:00:00	1.11941	1.12209	1.11848	1.12164	21822	0	0
2017.10.25	16:00:00	1.12162	1.12201	1.11922	1.11982	31982	0	1
2017.10.25	20:00:00	1.11983	1.12066	1.11762	1.11814	9599	0	0
2017.10.26	00:00:00	1.11814	1.12079	1.11738	1.12055	12412	0	1
2017.10.26	04:00:00	1.12053	1.12095	1.11800	1.11808	11219	0	0
2017.10.26	08:00:00	1.11808	1.12081	1.11698	1.11943	19969	0	0
2017.10.26	12:00:00	1.11943	1.12382	1.11925	1.12254	21966	0	0
2017.10.26	16:00:00	1.12258	1.12335	1.12066	1.12132	24412	0	0
2017.10.26	20:00:00	1.12132	1.12153	1.11871	1.11884	17602	0	1
2017.10.27	00:00:00	1.11884	1.12079	1.11856	1.11941	13140	0	1
2017.10.27	04:00:00	1.11940	1.12031	1.11530	1.11678	19153	0	0
2017.10.27	08:00:00	1.11678	1.11888	1.11588	1.11631	19138	0	0
2017.10.27	12:00:00	1.11630	1.11821	1.11549	1.11807	19934	0	1
2017.10.27	16:00:00	1.11808	1.11809	1.11412	1.11583	28751	0	1
2017.10.27	20:00:00	1.11584	1.11722	1.11517	1.11568	13504	0	1
2017.10.30	00:00:00	1.11460	1.11943	1.11361	1.11888	8076	0	0
2017.10.30	04:00:00	1.11887	1.12299	1.11712	1.12152	13566	0	0
2017.10.30	08:00:00	1.12152	1.12259	1.11902	1.12030	13425	0	0
2017.10.30	12:00:00	1.12032	1.12037	1.11856	1.11891	18048	0	2
